date,time,chamber_temperature_c,d_t_m_v,wet_bulb_depression_m_v,corrected_water_potential_m_pa,intercept,slope,edbo,correction_for_d_t_m_pa,internal_battery_voltage_v,internal_battery_temperature_c,external_power_supply_present,external_power_supply_voltage_v,external_power_supply_current_m_a,diagnostic_comment,dt
2023-02-19,04:00:00,9.21,-0.32,5.29,-2.14,0.37,-4.21,-0.42,-0.04,3.76,15.1,not present,0,0,NA,2023-02-19T11:00:00Z
2023-02-19,04:30:00,8.75,-0.48,5.16,-2.16,0.37,-4.21,-0.42,-0.06,3.75,14.3,not present,0,0,NA,2023-02-19T11:30:00Z
2023-02-19,05:00:00,8.2,-0.25,5,-2.12,0.37,-4.21,-0.35,-0.03,3.74,13.9,not present,0,0,NA,2023-02-19T12:00:00Z
2023-02-19,05:30:01,7.58,-0.26,4.92,-2.15,0.37,-4.21,-0.27,-0.03,3.73,13.5,not present,0,0,NA,2023-02-19T12:30:01Z
2023-02-19,06:00:01,7.59,-0.23,4.74,-2.07,0.37,-4.21,-0.4,-0.03,3.73,13.3,not present,0,0,NA,2023-02-19T13:00:01Z
2023-02-19,06:30:01,8.47,-0.23,4.99,-2.08,0.37,-4.21,-0.36,-0.03,3.73,13.8,not present,0,0,NA,2023-02-19T13:30:01Z
2023-02-19,07:00:01,9.21,-0.08,5.22,-2.08,0.37,-4.21,-0.52,-0.01,3.73,14.5,not present,0,0,NA,2023-02-19T14:00:01Z
2023-02-19,07:30:01,9.35,-0.31,5.4,-2.17,0.37,-4.21,-0.37,-0.04,3.73,15,not present,0,0,NA,2023-02-19T14:30:01Z
2023-02-19,08:00:00,9.58,-0.3,5.43,-2.16,0.37,-4.21,-0.38,-0.04,3.74,15.9,not present,0,0,NA,2023-02-19T15:00:00Z
2023-02-19,08:30:00,10.05,-0.27,5.66,-2.2,0.37,-4.21,-0.2,-0.04,3.77,17.4,not present,0,0,NA,2023-02-19T15:30:00Z
2023-02-19,09:00:00,10.95,-0.43,5.89,-2.23,0.37,-4.21,-0.2,-0.06,3.83,19.9,not present,0,0,NA,2023-02-19T16:00:00Z
2023-02-19,09:30:00,12.03,-0.54,6.52,-2.37,0.37,-4.21,-0.01,-0.07,4.19,23.3,present,19.09,56.7,NA,2023-02-19T16:30:00Z
2023-02-19,10:00:00,13.44,-0.35,7.1,-2.41,0.37,-4.21,0.03,-0.05,4.19,24.1,present,19.49,44.7,NA,2023-02-19T17:00:00Z
2023-02-19,10:30:00,14.83,-0.45,7.97,-2.58,0.37,-4.21,0.17,-0.06,4.19,25.1,present,19.79,41.4,NA,2023-02-19T17:30:00Z
2023-02-19,11:00:01,16.44,-0.33,8.65,-2.63,0.37,-4.21,-0.12,-0.04,4.19,26.4,present,20.12,39.3,NA,2023-02-19T18:00:01Z
2023-02-19,11:30:01,17.6,-0.43,9.46,-2.78,0.37,-4.21,0.12,-0.06,4.2,27.4,present,20.46,38.4,NA,2023-02-19T18:30:01Z
2023-02-19,12:00:00,18.58,-0.42,10.01,-2.84,0.37,-4.21,0.46,-0.05,4.2,28.2,present,20.21,38.09,NA,2023-02-19T19:00:00Z
2023-02-19,12:30:00,19.54,-0.39,10.34,-2.84,0.37,-4.21,0.12,-0.05,4.2,29.3,present,20.15,37.8,NA,2023-02-19T19:30:00Z
2023-02-19,13:00:01,20,-0.53,10.14,-2.77,0.37,-4.21,0.36,-0.07,4.2,29.7,present,20.11,37.2,NA,2023-02-19T20:00:01Z
2023-02-19,13:30:00,19.76,-0.52,9.91,-2.72,0.37,-4.21,0.46,-0.07,4.2,29.4,present,19.44,37.5,NA,2023-02-19T20:30:00Z
